# Program:featureCounts v2.0.6; Command:"featureCounts" "-O" "-t" "gene" "-g" "gene_name" "-a" "gencode.v41.annotation.gtf" "-o" "counts.txt" "./SRR5223500_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223505_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223522_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223543_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223547_2.fastq_mappedAligned.sortedByCoord.out.bam" "./SRR5223570_2.fastq_mappedAligned.sortedByCoord.out.bam" "-T" "20" "-p" 
Geneid	Chr	Start	End	Strand	Length	./SRR5223500_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223505_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223522_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223543_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223547_2.fastq_mappedAligned.sortedByCoord.out.bam	./SRR5223570_2.fastq_mappedAligned.sortedByCoord.out.bam
DDX11L1	chr1	11869	14409	+	2541	0	0	2	0	0	0
WASH7P	chr1	14404	29570	-	15167	226	209	189	147	134	54
MIR6859-1	chr1	17369	17436	-	68	15	7	3	4	4	0
MIR1302-2HG	chr1	29554	31109	+	1556	0	0	0	0	0	0
MIR1302-2	chr1	30366	30503	+	138	0	0	0	0	0	0
FAM138A	chr1	34554	36081	-	1528	0	0	0	0	0	0
OR4G4P	chr1	52473	53312	+	840	0	0	0	0	0	0
OR4G11P	chr1	57598	64116	+	6519	0	0	0	0	0	0
OR4F5	chr1	65419	71585	+	6167	0	0	0	0	0	0
ENSG00000238009	chr1	89295	133723	-	44429	9	1	0	3	4	0
ENSG00000239945	chr1	89551	91105	-	1555	3	0	0	0	0	0
CICP27	chr1	131025	134836	+	3812	0	0	0	4	0	2
ENSG00000268903	chr1	135141	135895	-	755	5	1	12	10	10	0
ENSG00000269981	chr1	137682	137965	-	284	4	0	7	21	14	0
ENSG00000239906	chr1	139790	140339	-	550	0	0	0	0	0	0
ENSG00000241860	chr1	141474	173862	-	32389	0	1	2	9	1	1
RNU6-1100P	chr1	157784	157887	-	104	0	0	0	0	0	0
ENSG00000241599	chr1	160446	161525	+	1080	0	0	0	0	0	0
DDX11L17	chr1	182696	184174	+	1479	0	0	6	0	0	0
WASH9P	chr1	185217	195411	-	10195	194	134	193	158	137	33
